Product Number,Name,Price,Original Price,Ratings,Viewers
49,"TCL 55"" Q-Class 4K UHD HDR QLED Smart Google TV (55Q650G-CA) - 2023",499.99,549.99,4.64,90
50,"Sony 65"" 4K UHD HDR LED Smart Google TV (KD65X77L) - 2023",899.99,929.99,4.62,90
51,"Samsung 85"" 4K UHD HDR LED Tizen Smart TV (UN85CU7000FXZC) - 2023 - Titan Grey",1799.99,2199.99,4.64,813
52,"Samsung 32"" 1080p HD LED Tizen Smart TV (UN32N5300AFXZC) - Glossy Black",299.99,,4.61,8057
53,"Samsung The Frame 43"" 4K UHD HDR QLED Tizen Smart TV (QN43LS03BAFXZC) - 2022 - Charcoal Black",1099.99,1199.99,4.58,499
54,"Insignia 24"" 1080p FHD LED Smart TV (NS-24F202CA23) - Fire TV Edition - 2022 - Only at Best Buy",199.99,299.99,4.57,689
55,"Sony X85K 55"" 4K UHD HDR LED Smart Google TV (KD55X85K) - 2022",999.99,1099.99,4.75,395
56,"Hisense U68K Series 55"" 4K UHD HDR QLED Smart Google TV (55U68K) - 2023",549.99,579.99,5,2
57,"Sony 75"" 4K UHD HDR LED Smart Google TV (KD75X77L) - 2023",1299.99,1599.99,5,1
58,"Samsung 85"" 4K UHD HDR QLED Smart TV (QN85Q70CAFXZC) - 2023 - Only at Best Buy",2699.99,3199.99,4.78,102
59,"Hisense 40"" 1080p HD LED VIDAA Smart TV (40A4KV) - 2023",249.99,,4.2,5
60,"Hisense 50"" 4K UHD HDR LED Roku Smart TV (50R63G) - 2022",399.99,,1,1
61,"Samsung 65"" 4K UHD HDR OLED Tizen Smart TV (QN65S90CAFXZC) - 2023 - Titan Black",2799.99,3299.99,4.73,297
62,"Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43CU7000FXZC) - 2023 - Titan Grey",549.99,,4.65,1268
63,"Insignia 32"" 1080p FHD LED Smart TV (NS-32F202CA23) - Fire TV Edition - 2022 - Only at Best Buy",349.99,,4.6,652
64,"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50TU690TFXZC) - 2022",599.99,,4.56,943
65,"TCL 32"" S-Class 1080p HD HDR LED Smart Google TV (32S350G-CA) - 2023",199.99,,4.61,119
66,"Samsung 55"" 4K UHD OLED Tizen Smart TV (QN55S95BAFXZC)",1699.99,,4.47,1641
67,"Toshiba 50"" 4K UHD HDR LED Smart TV (50C350KC) - Fire TV Edition - 2021 - Only at Best Buy",629.99,,4.07,28
68,"Sony 65"" 4K UHD HDR LED Smart Google TV (XR65X90L) - 2023",1799.99,1899.99,4.74,191
69,"LG StanbyME 27"" 1080p HD HDR LED webOS Smart TV (27ART10AKPL) - 2022",1299.99,,4.52,84
70,"Sony 43"" 4K UHD HDR LED Smart Google TV (KD43X77L) - 2023",579.99,,4.5,4
71,"Samsung The Frame 50"" 4K UHD HDR QLED Tizen Smart TV (QN50LS03BAFXZC) - 2022 - Charcoal Black",1599.99,,4.55,503
72,"LG 55"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED55C3PUA) - 2023",2199.99,,4.73,239
73,"Hisense 65"" 4K UHD HDR LED Roku Smart TV (65R63G) - 2022",599.99,,5,1
74,"Samsung 75"" 4K UHD HDR QLED Smart TV (QN75Q60CAFXZC) - 2023 - Titan Grey",1799.99,1999.99,4.8,348
75,"LG 50"" 4K UHD HDR LED webOS Smart TV (50UQ7570PUJ) - 2023 - Black",529.99,,3.88,8
76,"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75TU690TFXZC) - 2022",1294.98,,4.7,1729
77,"Sony X85K 50"" 4K UHD HDR LED Smart Google TV (KD50X85K) - 2022",899.99,949.99,4.7,288
78,"Samsung 55"" 4K UHD HDR OLED Tizen Smart TV (QN55S90CAFXZC) - 2023 - Titan Black",2199.99,2399.99,4.8,216
79,"Samsung 32"" 720p HD LED Tizen Smart TV (UN32M4500BFXZC) - Glossy Black",229.99,,4.61,4760
80,"TCL 55"" Q-Class 4K UHD HDR QLED Smart Google TV (55Q750G-CA) - 2023",749.99,799.99,4.47,178
81,"Sony 55"" 4K UHD HDR OLED Smart Google TV (XR55A80L) - 2023",2199.99,2399.99,3.5,4
82,"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q60BAFXZC) - Titan Grey",1199.95,,4.54,279
83,"Hisense 58"" 4K UHD HDR LED Roku Smart TV (58R63G) - 2022",479.99,,3.5,8
84,"Samsung 55"" 4K UHD HDR QLED Smart TV (QN55Q60CAFXZC) - 2023 - Titan Grey",999.99,,4.77,457
85,"LG 75"" 4K UHD HDR LED webOS Smart TV (75UQ7070ZUD) - 2022 - Grey - Only at Best Buy",999.99,,4.53,993
86,"Sony 77"" 4K UHD HDR OLED Smart Google TV (XR77A80L) - 2023",4199.99,4999.99,0,0
87,"LG 86"" 4K UHD HDR LED webOS Smart TV (86UQ7590PUD) - 2022 - Dark Iron Grey",1699.99,1799.99,3.35,17
88,"TCL 85"" Q-Class 4K UHD HDR QLED Smart Google TV (85Q750G-CA) - 2023",1999.99,2199.99,4.67,15
89,"Sony 55"" 4K UHD HDR LED Smart Google TV (KD55X77L) - 2023",799.99,,3,2
90,"LG G3 65"" 4K UHD HDR OLED evo Gallery webOS Smart TV (OLED65G3PUA) - 2023 - Satin Silver",3499.99,3999.99,4.68,161
91,"LG 77"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED77C3PUA) - 2023",4099.99,4799.99,4.85,278
92,"Samsung 65"" 4K UHD HDR QLED Smart TV (QN65Q80CAFXZC) - 2023 - Titan Black",1699.99,1799.99,4.75,216
93,"Samsung 70"" 4K UHD HDR LED Tizen Smart TV (UN70CU7000FXZC) - 2023 - Titan Grey",1099.99,,4.6,795
