Product Number,Name,Price,Original Price,Ratings,Viewers
46,"Sony 65"" 4K UHD HDR OLED Smart Google TV (XR65A80L)",0.029038845553213122,3299.99,4.74,0.004580890541931959
47,"Hisense 55"" 4K UHD HDR QLED Mini-LED Smart Google TV (55U78KM)",0.007517541614444137,999.99,4.5,4.202651873332072e-05
48,"Toshiba 43"" 4K UHD HDR LED Smart TV (43C350KC)",0.004314370795650614,529.99,3.38,0.0002731723717665847
49,"TCL 55"" Q-Class 4K UHD HDR QLED Smart Google TV (55Q650G-CA)",0.004014073531388721,549.99,4.64,0.0018911933429994327
50,"Sony 65"" 4K UHD HDR LED Smart Google TV (KD65X77L)",0.008018037054880625,929.99,4.62,0.0018911933429994327
51,"Samsung 85"" 4K UHD HDR LED Tizen Smart TV (UN85CU7000FXZC)",0.01702695498273741,2199.99,4.64,0.017083779865094875
52,"Samsung 32"" 1080p HD LED Tizen Smart TV (UN32N5300AFXZC)",0.002012091769642769,299.99,4.61,0.16930383071718255
53,"Samsung The Frame 43"" 4K UHD HDR QLED Tizen Smart TV (QN43LS03BAFXZC)",0.010020018816626577,1199.99,4.58,0.01048561642396352
54,"Insignia 24"" 1080p FHD LED Smart TV (NS-24F202CA23)",0.0010111008887697932,299.99,4.57,0.01447813570362899
55,"Sony X85K 55"" 4K UHD HDR LED Smart Google TV (KD55X85K)",0.009019027935753602,1099.99,4.75,0.008300237449830843
56,"Hisense U68K Series 55"" 4K UHD HDR QLED Smart Google TV (55U68K)",0.004514568971825209,579.99,5.0,4.202651873332072e-05
57,"Sony 75"" 4K UHD HDR LED Smart Google TV (KD75X77L)",0.01202200057837253,1599.99,5.0,2.101325936666036e-05
58,"Samsung 85"" 4K UHD HDR QLED Smart TV (QN85Q70CAFXZC)",0.026035872910594192,3199.99,4.78,0.002143352455399357
59,"Hisense 40"" 1080p HD LED VIDAA Smart TV (40A4KV)",0.001511596329206281,249.99,4.2,0.00010506629683330181
60,"Hisense 50"" 4K UHD HDR LED Roku Smart TV (50R63G)",0.0030130826505157453,399.99,1.0,2.101325936666036e-05
61,"Samsung 65"" 4K UHD HDR OLED Tizen Smart TV (QN65S90CAFXZC)",0.027036863791467167,3299.99,4.73,0.006240938031898128
62,"Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43CU7000FXZC)",0.004514568971825209,549.99,4.65,0.026644812876925338
63,"Insignia 32"" 1080p FHD LED Smart TV (NS-32F202CA23)",0.002512587210079257,349.99,4.6,0.013700645107062556
64,"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50TU690TFXZC)",0.0050150644122616975,599.99,4.56,0.019815503582760723
65,"TCL 32"" S-Class 1080p HD HDR LED Smart Google TV (32S350G-CA)",0.0010111008887697932,199.99,4.61,0.0025005778646325833
66,"Samsung 55"" 4K UHD OLED Tizen Smart TV (QN55S95BAFXZC)",0.016025964101864434,1699.99,4.47,0.034482758620689655
67,"Toshiba 50"" 4K UHD HDR LED Smart TV (50C350KC)",0.00531536167652359,629.99,4.07,0.0005883712622664902
68,"Sony 65"" 4K UHD HDR LED Smart Google TV (XR65X90L)",0.01702695498273741,1899.99,4.74,0.004013532539032129
69,"LG StanbyME 27"" 1080p HD HDR LED webOS Smart TV (27ART10AKPL)",0.01202200057837253,1299.99,4.52,0.0017651137867994704
70,"Sony 43"" 4K UHD HDR LED Smart Google TV (KD43X77L)",0.004814866236087102,579.99,4.5,8.405303746664145e-05
71,"Samsung The Frame 50"" 4K UHD HDR QLED Tizen Smart TV (QN50LS03BAFXZC)",0.015024973220991458,1599.99,4.55,0.010569669461430162
72,"LG 55"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED55C3PUA)",0.02103091850622931,2199.99,4.73,0.005022168988631827
